,,,,,,,O (90),,,,,,G (-90),,,,,,R (90),,,,,,Y (-90),,,,,,O (90),,,,,,Y (-90),,,,,,O (-90),,,,,,G (180),,,,,,O (180),,,,,,G (-90),,,,,,O (180),,,,,,G (-90),,,,,,W (-90),,,,,,G (-90),,,,,,O (180),,,,,,B (-90),,,,,,R (-90),,,,,,O (-90),,,,,,B (-90),,,,,,W (-90),,,,
R2:R1,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0
R8:R5,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0
R6:R7,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
R0:R3,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
B2:B1,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0
B8:B5,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0
B6:B7,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0
B0:B3,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0
Y2:Y1,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Y8:Y5,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Y6:Y7,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,1,0,0,0,,1,1,1,0,0,,0,0,0,0,0
Y0:Y3,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,1,1,0,0,,0,1,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
W1:W4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
W5:W4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0
W7:W4,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,1,1,1,0,0
W3:W4,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,1,1,0,0,,1,1,1,0,0,,0,1,0,0,0
O1:O4,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,0
O5:O4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
O7:O4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0
O3:O4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0
G1:G4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,0
G5:G4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0
G7:G4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
G3:G4,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0
R1:R4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
R5:R4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
R7:R4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0
R3:R4,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,1,1,0,0
B1:B4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0
B5:B4,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
B7:B4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,1,1,0,0,,0,1,0,0,0,,0,1,0,0,0,,0,1,0,0,0,,1,1,1,0,0,,1,1,1,0,0
B3:B4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Y1:Y4,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0
Y5:Y4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0
Y7:Y4,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Y3:Y4,1,1,1,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
,72,72,72,24,24,,72,60,60,16,16,,66,48,48,8,10,,60,36,36,4,5,,60,31,31,4,4,,60,28,28,4,4,,54,26,26,2,3,,52,28,26,2,3,,56,22,20,0,2,,46,23,22,0,2,,40,19,17,0,1,,48,14,12,0,1,,44,15,12,0,1,,38,9,7,0,0,,40,9,6,0,0,,32,10,7,0,0,,30,9,5,0,0,,32,9,5,0,0,,30,12,7,0,0,,36,12,9,0,0,,26,8,7,0,0